Id,Nombre,id_local,x,y
344,OBREOGAN,270484266,438949.6,4473835.54
345,LA CRIBA CERVECERIA,270501894,448683.55,4474956.42
346,CAFETERIA MER-K,270480143,445494.55,4470801.46
347,LA ORIENTAL EDELWEISS,280018516,439749.59,4472338.53
348,RESTAURANTE DOMINGUEZ BAR,20000005,441040.58,4471919.52
349,VEN Y VERAS,20000582,440902.58,4472867.52
350,MAMA NO LO SABE,290000070,442269.59,4476457.51
351,FIAT CAFE,50000971,442186.59,4478090.52
352,BAR,285020496,437403.61,4473660.55
353,"CAFETERIA, PANADERIA, PASTELERIA",100001049,438031.61,4473865.55
354,CERVECERIA GAMBRINUS ALUCHE,270525122,435009.62,4471135.57
355,RESTAURANTE-BAR.MEAT LAND,210000637,450351.58,4480054.4
356,LA TXASKA ETXEA,20000844,441194.58,4471247.52
357,CAFETERIA PIRAMIDES,20000605,439316.59,4472540.53
358,SMALL COFFE DRINK,20001935,441422.58,4471699.52
359,CERVECER?A 100 MONTADITOS,285004392,439631.59,4473072.53
360,CAF? Y T?,20000182,439566.59,4473090.53
361,BURGER KING,20000446,441117.58,4473170.52
362,BAR EL SOTANILLO,270218168,441022.58,4472973.52
363,MESON VALLE DEL JERTE,280018582,440032.59,4472979.53
364,CERVECERIA RESTAURANTE LA PARADA,270263160,441228.53,4466903.5
365,CAFE HELADOS,285007242,442947.59,4478839.51
366,"BAR LA TUNA, CALAHORRA 23",270481743,447924.55,4473046.43
367,TABERNA LA ERA,270453565,447075.54,4471868.44
368,MEMPHIS COCKTAIL BAR,270306989,443621.58,4476402.49
369,CAFETERA JARA,270360388,443398.58,4475827.5
370,CAFETERIA EL TREBOL,270440167,442620.58,4475018.51
371,CAFETERIA D?TOMAS,280071074,444390.57,4474897.48
372,CAFETERIA BARREDA,270171390,445378.57,4476797.47
373,RODILLA,50001969,441808.61,4480633.53
374,CERVECER?A MAVI,270017643,440916.58,4472888.52
375,CERVECERIA HAVANA BLUES,270193865,440728.59,4472625.52
376,BAR EL PESCADOR CERVECERIA,270054570,439673.59,4473101.53
377,CAFETERIA TRANSMONTANO,20001073,440598.58,4472172.52
378,ARROCERIA PUERTA DE ATOCHA,270405399,441274.58,4473055.52
379,POR DEFINIR,20000492,438821.6,4473410.54
380,LA ESQUINA DEL CALDERON,270531806,438733.6,4472973.54
381,TABERNA FANTASTICA,20000708,439701.59,4472413.53
382,CAFE DOMAR,270378436,439886.59,4472225.53
383,BAR LAS TAPAS,270543893,447432.52,4468996.43
384,SECABE CERVECERIA,270482945,441447.63,4483580.55
385,GOIKO GRILL,270543037,443418.63,4484493.52
386,CAFETERIA CERVECERIA BIARRITZ,270225437,443664.58,4476298.49
387,BAR CASA MANOLO,140000447,446428.55,4472697.45
388,SALVAZ,110001307,436483.6,4470374.55
389,PUB FANNY,270087195,442401.59,4476815.51
390,RESTAURANTE CHINO PROSPERIDAD II,170000823,441672.53,4467011.5
391,CAFE Y TE,270419423,442636.58,4475017.51
392,BAR JANDRO,270454744,444713.56,4473266.47
393,PLANETA SACONIA,270137940,438956.62,4479924.56
394,RESTAURANTE CHINO GUANG ZHOU,270346193,434984.62,4471088.57
395,CASA CORONEL,280043793,434988.62,4471072.57
396,BAR LOS XURROS,270549648,435252.61,4470159.56
397,24 CAMPANA,100001174,434976.62,4471124.57
398,R?TULO NO INFORMADO,280041320,438169.6,4473893.55
399,BAR MONTIJO,270402083,435647.6,4469405.56
400,RODILLA,40000735,442961.58,4474757.5
401,EL VIEJO MADRID,20001084,440411.59,4472179.52
402,OFICINAS PRIVADAS DE GESTION EMPRESA,280016582,439215.6,4473328.54
403,CAFETERIA RONDA DE TOLEDO,20001786,439978.59,4473025.53
404,VENTA MATADERO,270413162,440775.58,4471650.52
405,BULEVART,280044139,439199.6,4474675.54
406,BAR SEYDA,280056405,444161.56,4471628.48
407,EL RINCON DE CRUZ BLANCA,270490207,440978.57,4470235.52
408,JORDAN CAFE BAR,280049588,439737.57,4469036.52
409,SALON DE JUEGOS,270190399,450670.58,4480528.4
410,HOTEL FLORIDA NORTE,270024547,438815.6,4474737.54
411,100 MONTADITOS,285001213,439781.6,4474897.53
412,LA CUEVA DEL PINTXO,270532418,440382.59,4474696.53
413,SOCCER,270541825,443284.6,4480908.51
414,CAFETERIA LOS ALPES,270472400,442002.53,4467147.5
415,LA PIPARRA,270526036,442695.57,4472602.5
416,BODEGUITA DONDE SIEMPRE,270060296,442720.57,4472974.5
417,LA CRUZ BLANCA,270159594,443558.56,4471008.49
418,LOS PAJARITOS,280074088,444825.58,4476885.48
419,LAS VEGAS,140000189,446471.55,4473327.45
420,EL UROGALLO,90001120,438655.61,4474975.55
421,CAFETERIA GOMEZ,270397662,443485.58,4475941.49
422,CERVECERIA EL RUEDO,270076664,443343.58,4475952.5
423,ANELL,40001898,441443.59,4474676.52
424,GIANGROSSI,270531187,441960.58,4475321.51
425,HOTEL ADLER,270515016,441929.58,4475194.52
426,RESTAURANTE KANBEY,50000773,442841.59,4478894.51
427,PIZZERIA EMPANADILLAS BELISA,270535757,,
428,CAFETERIA RESTAURANTE LA CASCADA,270096974,441917.6,4479908.53
429,SIN R?TULO,285006678,443468.59,4477645.5
430,EL ENFRIADOR CERVECERIA,50000903,442608.6,4479037.51
431,HAVANA 25,280021158,441763.6,4478062.52
432,QUINTA',50000198,441628.6,4478044.52
433,UDABERRI,270544162,442539.6,4478859.51
434,BAR HOGAR,285007723,441976.61,4481257.53
435,VIPS,270191274,442032.59,4475764.51
436,CERVECERIA FUENTECOBRE,280018455,441492.58,4471428.52
437,CAFETERIA LA MOLOA,280016994,440592.59,4472453.52
438,CAFETERIA TRASMONTANA RESTAURANTE,20001019,441267.58,4471503.52
439,CAFETERIA LUZ TROPICAL,20001216,440835.58,4471589.52
440,CAFETERIA LA PESETA,270055843,440764.58,4471984.52
441,CHURRERIA PATUCHURRO,20001890,442386.57,4471639.51
442,ENME DE MADRID,270525522,442111.6,4478859.52
443,CHISTO,200002036,448405.55,4474827.42
444,MESON EL CARIBE,270133268,438475.61,4475114.55
445,CAFETERIA MARKITOS,280017462,441007.58,4471845.52
446,HENRYS TAVERN,280045270,433421.65,4477363.61
447,CERVECERIA LA CUCA?A,20000464,441145.58,4472486.52
448,RTE. TOMATE Y BOGAVANTE,280016766,439546.59,4472608.53
